"","company_name","number_of_portfolios","number_of_investors","mean_exposure","median_exposure","total_exposure","sector"
"28","Chevron Corp",12,6,0.0020746787036992,0.00219112977763571,0.0026436366049843,"Oil&Gas"
"29","Evn Ag",2,1,0.00226693645043638,0.00226693645043638,8.99378067243954e-07,"Power"
"30","Exelon Generation Co Llc",6,3,0.000879090447546184,0.00106605346919286,0.00104395297292089,"Power"
"31","Kia Motors Corp",6,3,0.00136406473484022,0.000645013315392882,1.45594018463072e-06,"Automotive"
"32","Perusahaan Listrik Negara Pt",7,3,0.000715796491216197,1.23163600774053e-05,1.28391075180075e-06,"Power"
"33","Southern Power Co",14,6,0.00147854467884382,0.000437574614773652,0.000502254792509502,"Power"
"34","Arizona Public Service Co",4,2,0.000659010142911076,0.000546579027786205,0.000392951871858854,"Power"
"35","Dominion Energy Inc",4,2,0.00272869888388566,0.00231426236409213,0.00202111389086523,"Power"
"36","Ecopetrol Sa",6,3,0.00116110581307512,0.000947632208258429,0.001959427937181,"Oil&Gas"
"37","Edison International",4,2,0.00062391168373477,0.00053736017993939,0.000525429122084205,"Power"
"38","Emerson Electric Co",5,2,0.000725193820854871,0.000407721363722936,0.00039799610652233,"Power"
"39","Eqt Corp",12,5,0.00190300974568073,0.00121391894649804,0.000998570449961893,"Oil&Gas"
"40","Exelon Corp",11,5,0.0031361479213546,0.00138432440915982,0.00136664371741996,"Power"
"41","Israel Electric Corp Ltd",6,3,0.000262203682038169,0.000348824030199966,8.13061676299338e-07,"Power"
"42","Kallpa Generacion Sa",2,1,0.000434385186802725,0.000434385186802725,3.19155494420614e-07,"Power"
"43","Pacific Gas & Electric Co",2,1,0.000201781386174485,0.000201781386174485,1.4825468276993e-07,"Power"
"44","Pacificorp",4,2,0.00087772484767489,0.000939925393234335,0.0011985172560452,"Power"
"45","Petroleos Del Peru Sa",6,3,0.00030208733201339,2.13597214182247e-06,6.65117919174039e-07,"Oil&Gas"
"46","Public Service Electric & Gas",6,3,0.00258923057587666,0.000798136293495052,0.000771157989759021,"Power"
"47","Sempra Energy",6,3,0.00625487874798497,0.00538959237994753,0.00151831582330681,"Power"
"48","Suncor Energy Inc",6,3,0.00207090696645128,0.0016208092557729,0.00159021639024157,"Oil&Gas"
"49","Trinidad Generation Unltd",2,1,0.00133315959733251,0.00133315959733251,9.79511326249432e-07,"Power"
"50","Tucson Electric Power Co",6,3,0.00102229834291581,0.000906859317223859,1.45153735866817e-05,"Power"
"51","A2a Spa",6,3,0.00331771055001914,0.00448396824850294,7.61063193790886e-06,"Power"
"52","Acea Spa",8,4,0.00124914294543436,9.90821086486081e-05,6.25902422458157e-06,"Power"
"53","Aep Texas Inc",2,1,0.000309836005054004,0.000309836005054004,0.000303342904295463,"Power"
"54","Aes Tiete Energia Sa",2,1,7.7113989073115e-07,7.7113989073115e-07,8.89526332893724e-09,"Power"
"55","Afren Plc",2,1,6.18143217167298e-07,6.18143217167298e-07,7.93642024694463e-10,"Oil&Gas"
"56","Aker Bp Asa",4,2,0.000425293827140919,0.000425293827140919,2.45466567879127e-07,"Oil&Gas"
